frechet_distance,trained_batches,batch_size,data_dim,feature_dim,dataset_size
1805513800000.0,400000,32,16384,256,512
1856268700000.0,400000,32,16384,256,1024
1889624400000.0,400000,32,16384,256,2048
1896559500000.0,400000,32,16384,256,4096
1906491700000.0,400000,32,16384,256,8192
1908711900000.0,400000,32,16384,256,16384
1907143500000.0,400000,32,16384,256,32768
1906442000000.0,400000,32,16384,256,65536
3813452500000.0,400000,32,16384,512,1024
3889650000000.0,400000,32,16384,512,2048
3899094200000.0,400000,32,16384,512,4096
3917315300000.0,400000,32,16384,512,8192
3926041600000.0,400000,32,16384,512,16384
3922785200000.0,400000,32,16384,512,32768
3922659000000.0,400000,32,16384,512,65536
2719561000000.0,450000,32,16384,256,512
2752727200000.0,450000,32,16384,256,1024
2794317000000.0,450000,32,16384,256,2048
2823162200000.0,450000,32,16384,256,4096
2834175400000.0,450000,32,16384,256,8192
2842579700000.0,450000,32,16384,256,16384
2840364600000.0,450000,32,16384,256,32768
2843843200000.0,450000,32,16384,256,65536
5828186700000.0,450000,32,16384,512,1024
5905202000000.0,450000,32,16384,512,2048
5959292300000.0,450000,32,16384,512,4096
5977431600000.0,450000,32,16384,512,8192
5994268600000.0,450000,32,16384,512,16384
5990838000000.0,450000,32,16384,512,32768
5997155000000.0,450000,32,16384,512,65536
2291506000000.0,500000,32,16384,256,512
2324677000000.0,500000,32,16384,256,1024
2354293800000.0,500000,32,16384,256,2048
2364842400000.0,500000,32,16384,256,4096
2372949200000.0,500000,32,16384,256,8192
2368548000000.0,500000,32,16384,256,16384
2372583600000.0,500000,32,16384,256,32768
2374037400000.0,500000,32,16384,256,65536
4396153600000.0,500000,32,16384,512,1024
4461423000000.0,500000,32,16384,512,2048
4483971000000.0,500000,32,16384,512,4096
4503632000000.0,500000,32,16384,512,8192
4494415400000.0,500000,32,16384,512,16384
4502510000000.0,500000,32,16384,512,32768
4502603700000.0,500000,32,16384,512,65536
