Batch,Batch_Size,Train_Loss,Test_Loss,Train_Valid_Dim_Loss,Train_Feature_Loss,Test_Valid_Dim_Loss,Test_Feature_Loss
439200,32,0.015501953661441803,,0.011663496494293213,0.0038384567014873028,,
439300,32,0.0066142091527581215,,0.005450282711535692,0.0011639264412224293,,
439400,32,0.010482053272426128,,0.0068869697861373425,0.003595083486288786,,
439500,32,0.009033468551933765,,0.004853909835219383,0.004179558716714382,,
439600,32,0.014523444697260857,,0.008152623660862446,0.006370821036398411,,
439700,32,0.014699121937155724,,0.009546236135065556,0.005152885336428881,,
439800,32,0.01852935180068016,,0.01379912905395031,0.004730223678052425,,
439900,32,0.014625713229179382,,0.009556049481034279,0.005069664213806391,,
440000,32,0.01422127801924944,0.012794563733041286,0.010104482993483543,0.004116795025765896,0.009265940962359309,0.0035286227939650416
440100,32,0.00981731154024601,,0.006981109268963337,0.0028362025041133165,,
440200,32,0.014277411624789238,,0.010463729500770569,0.003813681658357382,,
440300,32,0.01341964676976204,,0.009937359020113945,0.003482287982478738,,
440400,32,0.013277828693389893,,0.01018873043358326,0.0030890977941453457,,
440500,32,0.009251833893358707,,0.005925069563090801,0.003326764330267906,,
440600,32,0.013008719310164452,,0.009733306244015694,0.0032754128333181143,,
440700,32,0.008183075115084648,,0.006149084307253361,0.0020339905750006437,,
440800,32,0.013158059678971767,,0.009682870469987392,0.0034751894418150187,,
440900,32,0.015329415909945965,,0.011068683117628098,0.004260732792317867,,
441000,32,0.007711844984441996,,0.005022090394049883,0.0026897545903921127,,
441100,32,0.014704746194183826,,0.010070664808154106,0.00463408138602972,,
441200,32,0.02044285461306572,,0.013092223554849625,0.007350631058216095,,
441300,32,0.010059816762804985,,0.006995657458901405,0.003064159769564867,,
441400,32,0.015488363802433014,,0.011818761005997658,0.0036696032620966434,,
441500,32,0.010957895778119564,,0.009189820848405361,0.0017680751625448465,,
441600,32,0.010387372225522995,,0.00866176187992096,0.0017256108112633228,,
441700,32,0.011512165889143944,,0.007449348922818899,0.004062816500663757,,
441800,32,0.015581561252474785,,0.010636424645781517,0.004945137072354555,,
441900,32,0.015687063336372375,,0.011624620296061039,0.004062443505972624,,
442000,32,0.01474606990814209,,0.010274538770318031,0.0044715311378240585,,
442100,32,0.011469889432191849,,0.006699397694319487,0.004770491272211075,,
442200,32,0.014968556351959705,,0.01111682876944542,0.003851727582514286,,
442300,32,0.0076017011888325214,,0.005413656122982502,0.0021880450658500195,,
442400,32,0.009626957587897778,,0.004956969991326332,0.0046699875965714455,,
442500,32,0.025135081261396408,0.014192333910614252,0.01921066641807556,0.005924413911998272,0.010403551626950502,0.0037887821206822993
442600,32,0.015237709507346153,,0.011860666796565056,0.0033770431764423847,,
442700,32,0.01394757442176342,,0.009575453586876392,0.004372121300548315,,
442800,32,0.008338754996657372,,0.006180139258503914,0.002158615505322814,,
442900,32,0.012828397564589977,,0.009077618829905987,0.0037507787346839905,,
443000,32,0.013543764129281044,,0.009516340680420399,0.004027423448860645,,
443100,32,0.009014627896249294,,0.007528846152126789,0.0014857819769531488,,
443200,32,0.01088746078312397,,0.007407948840409517,0.0034795121755450964,,
443300,32,0.018719524145126343,,0.013754715211689472,0.004964808933436871,,
443400,32,0.015148366801440716,,0.011079082265496254,0.004069284535944462,,
443500,32,0.012780215591192245,,0.009348936378955841,0.003431278746575117,,
443600,32,0.011773871257901192,,0.008545145392417908,0.0032287256326526403,,
443700,32,0.007728245109319687,,0.005872682668268681,0.0018555625574663281,,
