frechet_distance,trained_batches,batch_size,data_dim,feature_dim,dataset_size
83489280000000.0,60000,32,16384,512,65536
18815876000000.0,80000,32,16384,128,256
19498667000000.0,80000,32,16384,128,512
19798948000000.0,80000,32,16384,128,1024
19768415000000.0,80000,32,16384,128,2048
19832272000000.0,80000,32,16384,128,4096
19870024000000.0,80000,32,16384,128,8192
19867883000000.0,80000,32,16384,128,16384
19879996000000.0,80000,32,16384,128,32768
19879176000000.0,80000,32,16384,128,65536
35394687000000.0,80000,32,16384,256,512
36037090000000.0,80000,32,16384,256,1024
36298850000000.0,80000,32,16384,256,2048
36442890000000.0,80000,32,16384,256,4096
36484053000000.0,80000,32,16384,256,8192
36452537000000.0,80000,32,16384,256,16384
36493746000000.0,80000,32,16384,256,32768
36502590000000.0,80000,32,16384,256,65536
71046340000000.0,80000,32,16384,512,1024
71549710000000.0,80000,32,16384,512,2048
71877770000000.0,80000,32,16384,512,4096
71974390000000.0,80000,32,16384,512,8192
71970070000000.0,80000,32,16384,512,16384
72048440000000.0,80000,32,16384,512,32768
72014850000000.0,80000,32,16384,512,65536
76822890000000.0,120000,32,16384,128,256
77547280000000.0,120000,32,16384,128,512
78239920000000.0,120000,32,16384,128,1024
78180730000000.0,120000,32,16384,128,2048
78430465000000.0,120000,32,16384,128,4096
78443375000000.0,120000,32,16384,128,8192
78497100000000.0,120000,32,16384,128,16384
78517000000000.0,120000,32,16384,128,32768
78553324000000.0,120000,32,16384,128,65536
161993900000000.0,120000,32,16384,256,512
163957630000000.0,120000,32,16384,256,1024
163959550000000.0,120000,32,16384,256,2048
164545570000000.0,120000,32,16384,256,4096
164730990000000.0,120000,32,16384,256,8192
164671600000000.0,120000,32,16384,256,16384
164653090000000.0,120000,32,16384,256,32768
164703540000000.0,120000,32,16384,256,65536
305228600000000.0,120000,32,16384,512,1024
305539950000000.0,120000,32,16384,512,2048
306476700000000.0,120000,32,16384,512,4096
306632180000000.0,120000,32,16384,512,8192
306631600000000.0,120000,32,16384,512,16384
306684050000000.0,120000,32,16384,512,32768
306638550000000.0,120000,32,16384,512,65536
9957527000000.0,160000,32,16384,128,256
10135300000000.0,160000,32,16384,128,512
10252161000000.0,160000,32,16384,128,1024
10242505000000.0,160000,32,16384,128,2048
10248439000000.0,160000,32,16384,128,4096
10252258000000.0,160000,32,16384,128,8192
10247267000000.0,160000,32,16384,128,16384
10252444000000.0,160000,32,16384,128,32768
10256799000000.0,160000,32,16384,128,65536
16929352000000.0,160000,32,16384,256,512
17157103000000.0,160000,32,16384,256,1024
17247787000000.0,160000,32,16384,256,2048
17300273000000.0,160000,32,16384,256,4096
17319837000000.0,160000,32,16384,256,8192
17314725000000.0,160000,32,16384,256,16384
17335011000000.0,160000,32,16384,256,32768
17332569000000.0,160000,32,16384,256,65536
38138890000000.0,160000,32,16384,512,1024
38211780000000.0,160000,32,16384,512,2048
38222755000000.0,160000,32,16384,512,4096
38196270000000.0,160000,32,16384,512,8192
38163890000000.0,160000,32,16384,512,16384
38172365000000.0,160000,32,16384,512,32768
38171035000000.0,160000,32,16384,512,65536
3313628000000.0,200000,32,16384,128,256
3534491500000.0,200000,32,16384,128,512
3609109200000.0,200000,32,16384,128,1024
3624576700000.0,200000,32,16384,128,2048
3624368300000.0,200000,32,16384,128,4096
3653097500000.0,200000,32,16384,128,8192
3660392700000.0,200000,32,16384,128,16384
3669552000000.0,200000,32,16384,128,32768
3671527300000.0,200000,32,16384,128,65536
6813398000000.0,200000,32,16384,256,512
6984620300000.0,200000,32,16384,256,1024
7065497000000.0,200000,32,16384,256,2048
7065102000000.0,200000,32,16384,256,4096
7115596400000.0,200000,32,16384,256,8192
7124179500000.0,200000,32,16384,256,16384
7130750000000.0,200000,32,16384,256,32768
7136688000000.0,200000,32,16384,256,65536
13704668000000.0,200000,32,16384,512,1024
13857284000000.0,200000,32,16384,512,2048
13894294000000.0,200000,32,16384,512,4096
13989376000000.0,200000,32,16384,512,8192
14004998000000.0,200000,32,16384,512,16384
14022175000000.0,200000,32,16384,512,32768
14031746000000.0,200000,32,16384,512,65536
2988909300000.0,240000,32,16384,128,256
3098729800000.0,240000,32,16384,128,512
3214862700000.0,240000,32,16384,128,1024
3260031200000.0,240000,32,16384,128,2048
3300156500000.0,240000,32,16384,128,4096
3325061000000.0,240000,32,16384,128,8192
3331058300000.0,240000,32,16384,128,16384
3338530500000.0,240000,32,16384,128,32768
3339280400000.0,240000,32,16384,128,65536
6667350600000.0,240000,32,16384,256,512
6852997300000.0,240000,32,16384,256,1024
